"SK_ID_CURR","TARGET","CODE_GENDER","CNT_CHILDREN","NAME_FAMILY_STATUS","NAME_EDUCATION_TYPE","NAME_INCOME_TYPE","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","FLAG_OWN_CAR","FLAG_OWN_REALTY","NAME_HOUSING_TYPE","OCCUPATION_TYPE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_LAST_PHONE_CHANGE","AGE","YEARS_EMPLOYED","BUREAU_AMT_CREDIT_SUM","BUREAU_AMT_CREDIT_SUM_DEBT","PREV_AMT_CREDIT_MAX","PREV_AMT_ANNUITY_MAX","INS_AMT_PAYMENT_SUM","CC_AMT_BALANCE"
"100002","1",M,"0",Single / not married,Secondary / secondary special,Working,"202500.0","406597.5","24700.5","351000.0",N,Y,House / apartment,Laborers,-9461,-637,-1134.0,25.9,1.7,865055.565,245781.0,179055.0,9251.775,219625.695,""
"100003","0",F,"0",Married,Higher education,State servant,"270000.0","1293502.5","35698.5","1129500.0",N,N,House / apartment,Core staff,-16765,-1188,-828.0,45.9,3.3,1017400.5,0.0,1035882.0,98356.995,1618864.65,""
"100004","0",M,"0",Single / not married,Secondary / secondary special,Working,"67500.0","135000.0","6750.0","135000.0",Y,Y,House / apartment,Laborers,-19046,-225,-815.0,52.2,0.6,189037.8,0.0,20106.0,5357.25,21288.465,""
"100006","0",F,"0",Civil marriage,Secondary / secondary special,Working,"135000.0","312682.5","29686.5","297000.0",N,Y,House / apartment,Laborers,-19005,-3039,-617.0,52.1,8.3,"","",906615.0,39954.51,1007153.415,0.0
"100007","0",M,"0",Single / not married,Secondary / secondary special,Working,"121500.0","513000.0","21865.5","513000.0",N,Y,House / apartment,Core staff,-19932,-3038,-1106.0,54.6,8.3,146250.0,0.0,284400.0,22678.785,806127.975,""
"100008","0",M,"0",Married,Secondary / secondary special,State servant,"99000.0","490495.5","27517.5","454500.0",N,Y,House / apartment,Laborers,-16941,-1588,-2536.0,46.4,4.4,468445.5,240057.0,501975.0,25309.575,957617.595,""
"100009","0",F,"1",Married,Higher education,Commercial associate,"171000.0","1560726.0","41301.0","1395000.0",Y,Y,House / apartment,Accountants,-13778,-3130,-1562.0,37.7,8.6,4800811.5,1077349.5,98239.5,17341.605,487995.12,""
"100010","0",M,"0",Married,Higher education,State servant,"360000.0","1530000.0","42075.0","1530000.0",Y,Y,House / apartment,Managers,-18850,-449,-1070.0,51.6,1.2,990000.0,348007.5,260811.0,27463.41,274492.08,""
"100011","0",F,"0",Married,Secondary / secondary special,Pensioner,"112500.0","1019610.0","33826.5","913500.0",N,Y,House / apartment,"",-20099,"365243",0.0,55.1,-1000.7,435228.3,0.0,732915.0,31295.25,1472756.175,54482.11114864865
"100012","0",M,"0",Single / not married,Secondary / secondary special,Working,"135000.0","405000.0","20250.0","405000.0",N,Y,House / apartment,Laborers,-14469,-2019,-1673.0,39.6,5.5,"","",158508.0,11188.035,501661.71,""
"100014","0",F,"1",Married,Higher education,Working,"112500.0","652500.0","21177.0","652500.0",N,Y,House / apartment,Core staff,-10197,-679,-844.0,27.9,1.9,2729932.425,758214.0,131868.0,14045.625,166880.745,""
"100015","0",F,"0",Married,Secondary / secondary special,Pensioner,"38419.155","148365.0","10678.5","135000.0",N,Y,House / apartment,"",-20417,"365243",-2396.0,55.9,-1000.7,409495.5,0.0,67077.0,7666.92,76586.805,""
